Sentence,Noun,Pronoun
He attended his grandfather's burial.,"['grandfather', 'burial']","['He', 'his']"
He always forgets his children's birthdays.,"['children', 'birthdays']","['He', 'his']"
The birth is scheduled for next month.,"['birth', 'month']",[]
They did not manage to have children.,['children'],['They']
"He is only one, he still is a baby.",['baby'],"['He', 'he']"
His parents live together.,['parents'],['His']
They split up after 20 years of marriage.,"['years', 'marriage']",['They']
They divorced after their last child left.,['child'],"['They', 'their']"
His parents are divorced.,['parents'],['His']
"I celebrated Christmas with my family, like every year.","['family', 'year']","['I', 'my']"
I am going to spend New Year's Eve with some friends.,['friends'],['I']
Families gather during the holiday season.,"['Families', 'holiday', 'season']",[]
They live together but they are not in love.,['love'],"['They', 'they']"
They have been together for two years.,['years'],['They']
It is a matter of life and death.,"['matter', 'life', 'death']",['It']
He has been broken by his father's death.,"['father', 'death']","['He', 'his']"
One has to enjoy one's youth.,['youth'],[]
The first signs of old age have appeared.,"['signs', 'age']",[]
The flu is a common illness.,"['flu', 'illness']",[]
You cannot forget childhood friends.,"['childhood', 'friends']",['You']
Teenagehood is a tough period.,['period'],[]
He is faithful to his wife.,['wife'],"['He', 'his']"
He finally grew tired of her infidelity.,['infidelity'],"['He', 'her']"
He cheats on his wife very often.,['wife'],"['He', 'his']"
Women tend to marry later and later.,['Women'],[]
Men are more afraid of commitment than women.,"['Men', 'commitment', 'women']",[]
I received a castle as an inheritance.,"['castle', 'inheritance']",['I']
I wrote my will before going on holidays.,"['will', 'holidays']","['I', 'my']"
I am going to the notary to sign the remaining papers.,"['notary', 'papers']",['I']
The presents are under the Christmas tree.,"['presents', 'tree']",[]
Food prices fluctuate a lot these years.,"['Food', 'prices', 'lot']",[]
I do not like canned food.,['food'],['I']
There is a biscuit packet left.,"['biscuit', 'packet']",['There']
His mother is baking a chocolate cake.,"['mother', 'chocolate', 'cake']",['His']
You have to mash potatoes to make mashed potatoes.,"['mash', 'potatoes', 'potatoes']",['You']
Could you give me a slice of bread?,"['slice', 'bread']","['you', 'me']"
I cry every time I cut onions.,"['time', 'onions']","['I', 'I']"
There are some dried tomatoes left.,['tomatoes'],['There']
The mouse ate half of the flour packet.,"['mouse', 'half', 'flour']",[]
There are two cloves of garlic in the refrigerator.,"['cloves', 'garlic', 'refrigerator']",['There']
There is only a green peas can left.,['peas'],['There']
Could you wash the salad?,['salad'],['you']
Do you have fruit juice for breakfast?,"['fruit', 'juice', 'breakfast']",['you']
We do not eat meat in order to save money.,"['meat', 'order', 'money']",['We']
Vegetables rot in the fridge. (past),"['Vegetables', 'fridge']",[]
You do not eat enough fruit.,['fruit'],['You']
Fish is more digest than meat.,"['Fish', 'meat']",[]
I do not like poultry so much in general.,['poultry'],['I']
Beef has become overpriced.,['Beef'],[]
I am allergic to seafood.,['seafood'],['I']
We are eating chicken for lunch.,"['chicken', 'lunch']",['We']
Drinkable water is a rare commodity in many countries.,"['water', 'commodity', 'countries']",[]
He threw the apple core in the rubbish bin.,"['apple', 'core']",['He']
I slipped on a banana skin.,"['banana', 'skin']",['I']
Do you want me to peel an orange for you?,['orange'],"['you', 'me', 'you']"
The soup has to be reheated.,['soup'],[]
China is one of the biggest producers of rice.,"['producers', 'rice']",[]
This farmer owns a hundred hectares of wheat.,"['farmer', 'hectares', 'wheat']",[]
Lenses are an important source of proteins.,"['Lenses', 'source', 'proteins']",[]
India is famous for its spices.,['spices'],['its']
Give me the salt please.,['salt'],['me']
"Pepper has to be grinded, but I do not have a pepper mill.","['pepper', 'mill']",['I']
Is it possible not to put chili in the dish?,"['chili', 'dish']",['it']
The packet of sugar is empty.,"['packet', 'sugar']",[]
The beans are not cooked.,['beans'],[]
Did you mix the dressing of the salad?,"['dressing', 'salad']",['you']
"The oil had gotten rancid, we had to throw it away.","['oil', 'rancid']","['we', 'it']"
Vinegar is acid.,"['Vinegar', 'acid']",[]
Young people drink too much alcohol these days.,"['people', 'alcohol', 'days']",[]
"The fragrance of this wine is exceptionnal, unfortunately it is corked.","['fragrance', 'wine']",['it']
This brewery makes excellent beers.,"['brewery', 'beers']",[]
Rhum is made from sugar cane.,"['sugar', 'cane']",[]
"Be careful, the pastas are hot.",['pastas'],[]
"Rice has become cold, you should reheat it.",[],"['you', 'it']"
"This dish is too spicy for me, I cannot finish it.",['dish'],"['me', 'I', 'it']"
The pasta are too salty.,['pasta'],[]
"Do you want a boiled egg, a fried egg or a hard-boiled egg?","['egg', 'egg', 'egg']",['you']
"It is a sweet dish, it is eaten as a dessert.","['dish', 'dessert']","['It', 'it']"
Should I put a slice of ham in your sandwitch?,"['slice', 'ham', 'sandwitch']","['I', 'your']"
There are only two tea bags left.,"['tea', 'bags']",['There']
Do you want decaffeinated coffee?,['coffee'],['you']
"There is no cheese left, we have to buy some more.",['cheese'],"['There', 'we', 'some']"
"Tonight, we eat grated carrots.","['Tonight', 'carrots']",['we']
I bought meat kebabs.,"['meat', 'kebabs']",['I']
"Sugar has melted, it has turned into caramel.",[],['it']
It is a very expensive vegetarian restaurant.,['restaurant'],['It']
We keep wine down in the cellar in barrels.,"['wine', 'cellar', 'barrels']",['We']
"This mustard is very strong, do not put too much of it.",['mustard'],['it']
"Squeeze a lemon, add a dash of oil and the dressing is ready.","['lemon', 'dash', 'oil']",[]
She made you an infusion so you can sleep better.,['infusion'],"['She', 'you', 'you']"
"Your coffee is tepid, it is not going to be good.","['coffee', 'tepid']","['Your', 'it']"
Shall we have breakfast on the terrace?,"['breakfast', 'terrace']",['we']
She is preparing lunch,['lunch'],['She']
Dinner is served at eight.,['Dinner'],[]
We are making apricot jam.,[],['We']
Nut shells are too hard to be broken by hand.,"['shells', 'hand']",[]
We should shell the hazelnuts but I do not have a pair of nutcrackers.,"['hazelnuts', 'pair', 'nutcrackers']","['We', 'I']"
Open the coconut to drink its juice.,"['coconut', 'juice']",['its']
The village inhabitants offered us some dates.,"['village', 'inhabitants', 'dates']",['us']
Bees are flying around bunches of grapes.,"['Bees', 'bunches', 'grapes']",[]
Dried figs are a local specialty.,"['figs', 'specialty']",[]
In how many slices should I cut the melon ?,"['slices', 'melon']",['I']
These watermelons are rather tasteless.,['watermelons'],[]
One can hardly tastes the cinnamon.,['cinnamon'],['One']
It is cumin that is responsible for the yellowish colour of the curry.,"['cumin', 'colour', 'curry']","['It', 'that']"
It is coriander that gives all its taste to that dish.,"['coriander', 'taste', 'dish']","['It', 'that', 'all']"
Vanilla pods are picked by hand.,"['pods', 'hand']",[]
She tries to drink less soda.,['soda'],['She']
I will take mineral water please.,"['mineral', 'water', 'please']",['I']
These peasants make their own liquor.,"['peasants', 'liquor']",['their']
The heart of artichokes is the favorite part of a lot of people.,"['heart', 'artichokes', 'part']",[]
He does not like asparagus.,['asparagus'],['He']
Shallots look a bit like onions.,"['Shallots', 'bit', 'onions']",[]
Do you prefer your toasts very grilled?,['toasts'],"['you', 'your']"
There are bread crumbs on the table.,"['bread', 'crumbs', 'table']",['There']
Cheese has to be cut in thin slices.,['slices'],[]
In how many slices should I cut the cake?,"['slices', 'cake']",['I']
"There is too much fat in this dish for me, I will not be able to finish it.","['fat', 'dish']","['There', 'me', 'I']"
He knows how to cook wonderful apple pies.,"['apple', 'pies']",['He']
He brings her croissants for breakfast.,"['croissants', 'breakfast']","['He', 'her']"
Have you ever tasted currant jelly ?,['jelly'],['you']
Baker's yeast is better than baking powder.,"['yeast', 'powder']",[]
We have to leave the dough to rise.,['dough'],['We']
I am making my pastry myself.,['pastry'],"['I', 'my', 'myself']"
We are going to make a barbecue in the garden.,"['barbecue', 'garden']",['We']
"The coal has not caught, we have to put meths on it.","['coal', 'meths']","['we', 'it']"
Mix the flour with egg yolks.,"['flour', 'egg', 'yolks']",[]
"After covering it, let it cook on a slow fire for twenty minutes.","['fire', 'minutes']","['it', 'it']"
You have to mash potatoes to make mashed potatoes.,"['mash', 'potatoes', 'potatoes']",['You']
You should grill the meat longer.,['meat'],['You']
"Grilled meat, I do not like so much.",['meat'],['I']
You have to grind the mint to extract its flavour.,"['mint', 'flavour']","['You', 'its']"
I will have a mint tea.,"['mint', 'tea']",['I']
Put a bit of cream in the sauce.,"['bit', 'cream', 'sauce']",[]
Parsley should be added in the salad.,['salad'],[]
Onions are better when they are fried.,['Onions'],['they']
His leak pie is delicious.,"['leak', 'pie']",['His']
Could you cut the peppers in slices?,"['peppers', 'slices']",['you']
They went to pick up mushrooms.,['mushrooms'],['They']
Spinach are rich in iron.,"['Spinach', 'iron']",[]
Avocados will be lost if we do not eat them today.,['today'],"['we', 'them']"
Give me a slice of sausage.,"['slice', 'sausage']",['me']
This sausage is a German speciality.,"['sausage', 'speciality']",[]
"Two fries containers, please.","['fries', 'containers']",[]
Do you want your steak rare or medium rare ?,['steak'],"['you', 'your']"
I bought a whole crate of peaches.,"['crate', 'peaches']",['I']
Peel the pear before eating it.,['pear'],['it']
This mandarin is not ripe enough.,['mandarin'],[]
Cherry stalks can be used to make herbal tea.,"['Cherry', 'stalks', 'tea']",[]
The strawberry punnet costs one euro.,"['strawberry', 'punnet', 'euro']",[]
Raspberries stain clothes a lot.,"['Raspberries', 'clothes', 'lot']",[]
Blueberries are berries.,"['Blueberries', 'berries']",[]
The leg is cooking.,['leg'],[]
The mango season has started.,['season'],[]
Maracuja cream is a real treat.,"['cream', 'treat']",[]
Their speciality is chocolate mousse.,"['speciality', 'chocolate', 'mousse']",['Their']
I prefer plain yoghurt.,['yoghurt'],['I']
"To drink with fish, you need white wine.","['fish', 'wine']",['you']
Do you prefer red wine or white wine?,"['wine', 'wine']",['you']
He brought a bottle of rosé.,"['bottle', 'rosé']",['He']
Shall we open a small bottle of cider?,"['bottle', 'cider']",['we']
"After three glassfuls of vodka, he was not himself anymore.","['glassfuls', 'vodka']","['he', 'himself']"
It is a cachaça based cocktail.,"['cachaça', 'cocktail']",['It']
I would like a bunch of chives,"['bunch', 'chives']",['I']
Sauerkraut is made with cabbage.,['cabbage'],[]
I am looking for a recipe with cauliflower.,"['recipe', 'cauliflower']",['I']
Fuel can be made from beet roots.,"['Fuel', 'beet', 'roots']",[]
"It is too bitter, i cannot eat it.",[],"['It', 'i', 'it']"
Maize come from Central America.,[],[]
Moussaka is made from eggplants.,['eggplants'],[]
You have to cut the cucumber in thin slices.,"['cucumber', 'slices']",['You']
Deseed the pumpkin before cooking it.,['pumpkin'],['it']
Zucchinis have to be fried.,[],[]
Soybean is an essential food for cattle.,"['Soybean', 'food', 'cattle']",[]
The horse eats oat.,['horse'],[]
Our lettuces are of very high quality.,"['lettuces', 'quality']",['Our']
Their brother is allergic to almonds.,"['brother', 'almonds']",['Their']
The monkey is shelling peanuts.,"['monkey', 'peanuts']",[]
The doctor made a wrong diagnosis.,"['doctor', 'diagnosis']",[]
The chemist don't dispense morphine without a prescription.,"['chemist', 'morphine', 'prescription']",[]
,[],[]
Antibiotics do not work against viruses.,"['Antibiotics', 'viruses']",[]
This virus is not very contagious.,['virus'],[]
The helicobacter pylori bacterium develops itself in the stomach.,"['helicobacter', 'pylori', 'bacterium']",['itself']
Pain is only a piece of information.,"['Pain', 'piece', 'information']",[]
The cat has a second-degree burn.,"['cat', 'degree', 'burn']",[]
They gave him an analgesic injection.,['injection'],"['They', 'him']"
The hospital lacks drugs.,"['hospital', 'drugs']",[]
His cut did not become infected thanks to antibiotics.,"['cut', 'thanks', 'antibiotics']",['His']
We had to go to the ER for a simple cut.,['cut'],['We']
Do you know your blood type ? It is compulsory to donate blood.,"['blood', 'type', 'blood']","['you', 'your', 'It']"
Nothing has been detected in the blood tests.,"['blood', 'tests']",['Nothing']
It is not a good sign when there is blood in the stools.,"['sign', 'blood', 'stools']","['It', 'there']"
He was dehydrated because of the diarrhea.,['diarrhea'],['He']
He suddenly vomited after his meal at the restaurant.,"['meal', 'restaurant']","['He', 'his']"
He vomited all night.,['night'],['He']
The operation went well.,['operation'],[]
The surgeon was reassuring after the surgery.,"['surgeon', 'surgery']",[]
His cancer has been detected on time to be cured.,"['cancer', 'time']",['His']
I almost had an infarct when I saw him coming unexpectedly.,['infarct'],"['I', 'I', 'him']"
He breathes heavily beacuse he has a broken rib.,['rib'],"['He', 'he']"
He is maintained in an artificial coma.,['coma'],['He']
He took too much drugs. He died due to an overdose.,"['drugs', 'overdose']","['He', 'He']"
I have set an alarm to remind me to take my medicine.,"['alarm', 'medicine']","['I', 'me', 'my']"
The hemorrhage could be stopped.,['hemorrhage'],[]
He is on antibiotics to prevent his wound from being infected.,"['antibiotics', 'wound']","['He', 'his']"
She fainted at the sight of blood.,"['sight', 'blood']",['She']
He had an indigestion because he overate.,['indigestion'],"['He', 'he']"
He got food poisonning after eating in that restaurant.,"['food', 'restaurant']",['He']
"After New Year's Eve, he had an upset stomach.",['stomach'],['he']
He sprained his ankle.,['ankle'],"['He', 'his']"
He has a bandage around his ankle.,"['bandage', 'ankle']","['He', 'his']"
"He has many allergies, pollen being one of them.","['allergies', 'pollen']","['He', 'them']"
The amputation of his arm has been less painful than he had expected.,"['amputation', 'arm']","['his', 'he']"
He is taking painkillers to endure the pain.,"['painkillers', 'pain']",['He']
One part of the medicines is evacuated in urine.,"['part', 'medicines', 'urine']",[]
AIDS is a sexually transmitted disease.,['disease'],[]
Hepatitis is caused by viruses.,['viruses'],[]
"One cannot predict strokes, or CVA.",['strokes'],['One']
Thrombosis corresponds to the formation of a blood clot in the circulation.,"['Thrombosis', 'formation', 'blood']",[]
The blood clot was successfully dissolved by thrombolytics.,"['blood', 'clot', 'thrombolytics']",[]
You have to put some disinfecant on the wound.,"['disinfecant', 'wound']",['You']
Antiseptics clean the wound.,"['Antiseptics', 'wound']",[]
He takes anti-inflammatory drugs to ease the pain.,"['drugs', 'pain']",['He']
"Sexually transmitted diseases, or STDs, are very infectious.","['diseases', 'STDs']",[]
Intestinal worms are removed by using vermifuges.,"['worms', 'vermifuges']",[]
We have to check your blood pressure right now.,"['blood', 'pressure']","['We', 'your']"
I refuse to be given an injection with a syringe which is not sterilized.,"['injection', 'syringe']","['I', 'which']"
I had to go to see an ophtalmologist to check my short-sightedness.,"['ophtalmologist', 'sightedness']","['I', 'my']"
He had to go to a gastroenterologist for his digestive problems.,"['gastroenterologist', 'problems']","['He', 'his']"
The operation should not leave a scar.,"['operation', 'scar']",[]
She got a morphine injection.,"['morphine', 'injection']",['She']
The psychiatrist prescribed him a heavy treatment.,"['psychiatrist', 'treatment']",['him']
Anxiolytics are suspected to induce memory loss.,"['Anxiolytics', 'memory', 'loss']",[]
Being on antidepressants is not a long-term solution.,"['antidepressants', 'term', 'solution']",[]
She cannot sleep without sleeping pills.,['pills'],['She']
Herniated discs cause terrible pain.,"['discs', 'pain']",[]
He tries to get rid of his back pain.,['pain'],"['He', 'his']"
She has not been able to walk for two days because of a lumbago.,"['days', 'lumbago']",['She']
He cannot turn his head anymore because of a torticollis.,"['head', 'torticollis']","['He', 'his']"
We should sterilized the syringe with alcohol 70.,"['syringe', 'alcohol']",['We']
Ears are to be cleaned with a Q-tip.,"['Ears', 'tip']",[]
He cleans his teeth with dental floss.,"['teeth', 'floss']","['He', 'his']"
Her headache finally wore off.,['headache'],['Her']
He suddenly got a toothache which lasted for hours.,"['toothache', 'hours']","['He', 'which']"
The vaccine for rabbies has been discovered by Pasteur.,"['vaccine', 'rabbies']",[]
Her fever dropped during the night.,"['fever', 'night']",['Her']
Her pulse is very slow.,['pulse'],['Her']
My heart rate is relatively low during effort.,"['heart', 'rate', 'effort']",['My']
Spasms ran through his body.,"['Spasms', 'body']",['his']
She has been suffering from depression for three months.,"['depression', 'months']",['She']
He caught a mycosis.,['mycosis'],['He']
They have taken a blood sample to perform analyses.,"['blood', 'sample', 'analyses']",['They']
Blood contamination lead to a national scandal.,"['Blood', 'contamination', 'lead']",[]
People catch nosocomial diseases in hospitals.,"['People', 'diseases', 'hospitals']",[]
Her scalpel is always sterilized before an surgery.,"['scalpel', 'surgery']",['Her']
Of course they use condoms.,['condoms'],['they']
Contraception allowed her not to get pregnant.,['Contraception'],['her']
She takes her pill every day.,"['pill', 'day']","['She', 'her']"
He takes dietary supplements capsules every day.,"['supplements', 'day']",['He']
He took a suppository.,['suppository'],['He']
You have to change your bandage every day.,"['bandage', 'day']","['You', 'your']"
She got two stitches after the surgery.,"['stitches', 'surgery']",['She']
He got a hematoma when he fell down.,['hematoma'],"['He', 'he']"
He finally had the wart he had on his foot removed.,"['wart', 'foot']","['He', 'he', 'his']"
She has to buy sanitary napkins.,['napkins'],['She']
You can catch tetanos if you prick yourself with rusty nails.,"['tetanos', 'nails']","['You', 'you', 'yourself']"
The kidney transplant was successful.,"['kidney', 'transplant']",[]
She developed an auto-immune disease after the vaccine injection.,"['auto', 'disease', 'vaccine']",['She']
The venom of this snake is lethal.,"['venom', 'snake']",[]
He takes insulin because of his diabetes.,"['insulin', 'diabetes']","['He', 'his']"
He has to be on a particular diet because he takes medicines.,"['diet', 'medicines']","['He', 'he']"
She had an epilepsy stroke.,"['epilepsy', 'stroke']",['She']
"The concentration of sugar in blood, or glycemia, changes during the day.","['concentration', 'sugar', 'blood']",[]
His rheumatisms are triggered more and more frequently.,['rheumatisms'],['His']
"At first sight, the tumor is benign.","['sight', 'tumor']",[]
"The cancer is at an advanced stage, the cancer has metastasized to his lung.","['cancer', 'stage', 'cancer']",['his']
His arthritis made him suffer a lot.,"['arthritis', 'lot']","['His', 'him']"
He had a phlegmy cough.,['cough'],['He']
The person slepping next to him was snoring ; it prevented him from sleeping.,['person'],"['him', 'it', 'him']"
She may have gone shopping.,[],['She']
She has dark rings under her eyes.,"['rings', 'eyes']","['She', 'her']"
He is covered in rashes.,['rashes'],['He']
His acne will go eventually.,['acne'],['His']
"Suddenly, she started to shiver.",[],['she']
I have got a throat irritation which prevents from sleeping.,"['throat', 'irritation']","['I', 'which']"
He had an operation without anesthesia.,['operation'],['He']
Fatigue prevents him from focusing.,['Fatigue'],['him']
His insomnia exhaust h,"['insomnia', 'exhaust', 'h']",['His']
He caught syphilis when he was travelling.,['syphilis'],"['He', 'he']"
He cannot manage to get rid of his lice.,['lice'],"['He', 'his']"
Typhus is a disease of bacterial origins.,"['disease', 'origins']",[]
Violent dirrhea is the first symptom of dysentry.,"['dirrhea', 'symptom', 'dysentry']",[]
He is so short-sighted that he cannot see over one meter ahead.,['meter'],"['He', 'he']"
He cannot read without his glasses because he is long-sighted.,['glasses'],"['He', 'his', 'he']"
"He squints a little, he is astigmatic.",[],"['He', 'he']"
His myopia has been stable for two years.,"['myopia', 'years']",['His']
He has dandruff on his suit.,"['dandruff', 'suit']","['He', 'his']"
Lice lay eggs ; nits.,"['eggs', 'nits']",[]
Do you know a good hotel ?,['hotel'],['you']
I would rather sleep at a youth hostel.,"['youth', 'hostel']",['I']
I would like to book a room for three nights.,"['room', 'nights']",['I']
The dormitory contains three bunk beds.,"['dormitory', 'bunk', 'beds']",[]
Would you like a double room or a simple room ?,"['room', 'room']",['you']
"For starters, I would like a mixed salad.","['starters', 'salad']",['I']
You should book two days in advance.,"['days', 'advance']",['You']
There are no vacancies in this hotel today.,"['vacancies', 'hotel', 'today']",['There']
We have one room available for tonight.,"['room', 'tonight']",['We']
The keys are in the pocket of your jacket.,"['keys', 'pocket', 'jacket']",['your']
I have taken a padlock to lock my locker.,"['padlock', 'locker']","['I', 'my']"
The bathroom is at the end of the corridor.,"['bathroom', 'end', 'corridor']",[]
I will have a shower and I will be ready.,['shower'],"['I', 'I']"
I sleep with two pillows.,['pillows'],['I']
The mattress is too hard.,['mattress'],[]
The sheets have to be changed.,['sheets'],[]
The bed is too small for the two of us.,['bed'],['us']
I am usually under my duvet on Sundays.,['duvet'],"['I', 'my']"
The pillowscases are in the cupboard.,"['pillowscases', 'cupboard']",[]
We are going to spend three nights here.,['nights'],['We']
You have mail at the reception.,"['mail', 'reception']",['You']
The receptionnist forgot to give me the entry code.,"['receptionnist', 'entry', 'code']",['me']
The chambermaid will come soon.,['chambermaid'],[]
You have to give a deposit to rent a car.,"['deposit', 'car']",['You']
Give me the towel.,['towel'],['me']
The flush does not work.,['flush'],[]
There is a water leak.,"['water', 'leak']",['There']
There is some mist on the mirror.,"['mist', 'mirror']",['There']
Be careful when you go up the stairs.,['stairs'],['you']
Could you open the curtains please ?,['curtains'],['you']
This table is reserved.,['table'],[]
The restaurant is open until eleven.,['restaurant'],[]
What would you like as an apéritif ?,['apéritif'],"['What', 'you']"
Drink this wine cool.,['wine'],[]
We would like a table for four persons.,"['table', 'persons']",['We']
Take a teaspoon instead.,['teaspoon'],[]
The fork is to be taken with the left hand.,"['fork', 'hand']",[]
This knife is not very sharp.,['knife'],[]
There is a pile of plates to be washed.,"['pile', 'plates']",['There']
She broke a glass.,['glass'],['She']
Put the cutlery on the table.,"['cutlery', 'table']",[]
Champagne is not to be drunk from a wine glass.,"['wine', 'glass']",[]
Give a towel to your sister.,"['towel', 'sister']",['your']
"We have to order now, before the restaurant closes.",['restaurant'],['We']
"Ask the waiter for the bill, we have to leave.","['waiter', 'bill']",['we']
The waitress will take the order.,"['waitress', 'order']",[]
Could you please bring the menu ?,['menu'],['you']
The bill please.,['bill'],[]
I think we should leave a tip.,['tip'],"['I', 'we']"
There is a stain on the tablecloth.,"['stain', 'tablecloth']",['There']
He had to go without his dessert.,['dessert'],"['He', 'his']"
He is stronger than his brother.,['brother'],"['He', 'his']"
I feel weak today.,['today'],['I']
"He has a lot of friends, he is very sociable.","['lot', 'friends']","['He', 'he']"
"He never goes out, he really is antisocial.",[],"['He', 'he']"
He is a nice boy.,['boy'],['He']
"On the whole, he is rather respectful towards his colleagues.","['whole', 'colleagues']","['he', 'his']"
He was disrespectful to his superiors.,['superiors'],"['He', 'his']"
He feels responsible for what happened.,[],"['He', 'what']"
He behavior is completely irresponsible,['behavior'],['He']
Sometimes you have to be patient.,[],['you']
She cannot wait to see you.,[],"['She', 'you']"
He is totally submissive to his wife.,['wife'],"['He', 'his']"
Be more attentive or you will not remember anything.,[],"['you', 'anything']"
Fortune favours the bold.,['bold'],[]
"I am too absent-minded, I cannot remember where I have put my glasses.",['glasses'],"['I', 'I', 'I']"
His dog is very aggressive.,['dog'],['His']
He is obviously arrogant but he is also competent.,[],"['He', 'he']"
He is quite skilful.,[],['He']
He is clumsy by nature.,['nature'],['He']
Better to be dishonest than incompetent.,[],[]
You are too pernickety on the details.,"['pernickety', 'details']",['You']
He is unconcerned to his brother's problems.,"['brother', 'problems']","['He', 'his']"
"If you were less lazy, you would find a job.",['job'],"['you', 'you']"
He is cruel to animals.,['animals'],['He']
His cruelty unbearable.,['cruelty'],['His']
He refused to look for a job out of laziness.,"['job', 'laziness']",['He']
He did not manage to restrain his aggressiveness.,['aggressiveness'],"['He', 'his']"
Patience is not his first quality.,"['Patience', 'quality']",['his']
Some people cannot stand submission to authority,"['people', 'submission', 'authority']",[]
"In my day, young people had respect for the elderly.","['day', 'people', 'respect']",['my']
His strenght lies in his tenacity.,"['strenght', 'tenacity']","['His', 'his']"
He would rather hide his weaknesses.,['weaknesses'],"['He', 'his']"
She was disgusted by his arrogance.,['arrogance'],"['She', 'his']"
You could read the impatience on his face.,"['impatience', 'face']","['You', 'his']"
His ambition is overweening.,['ambition'],['His']
The intelligence of this monkey was above average.,"['intelligence', 'monkey']",[]
"Out of politeness, he answered nothing.",['politeness'],"['he', 'nothing']"
His work obsession gradually cut him off from his family.,"['work', 'obsession', 'family']","['His', 'him', 'his']"
He was obsessed by the presidential campaign.,['campaign'],['He']
There was resentment in his words.,"['resentment', 'words']","['There', 'his']"
"She forgives quickly, she does not bear grudges.",['grudges'],"['She', 'she']"
He regretted to have been so proud.,[],['He']
He is too selfish to be aware of other people's difficulties.,"['people', 'difficulties']",['He']
She had trouble creating long-term relationships because of her selfishness.,"['trouble', 'term', 'relationships']","['She', 'her']"
"I am proud of you, son.",['son'],"['I', 'you']"
"Out of pride, he refused to admit he was wrong.",['pride'],"['he', 'he']"
"You are impulsive, learn to control yourselves.",['yourselves'],['You']
His impulsiveness has been playing tricks on him.,"['impulsiveness', 'tricks']","['His', 'him']"
Stop being impertinent.,[],[]
This pupil will be punished for his insolence.,"['pupil', 'insolence']",['his']
The doctrine of this philosopher is very deep.,"['doctrine', 'philosopher']",[]
She has not been feeling desire for her husband for a long time.,"['desire', 'husband', 'time']","['She', 'her']"
I did not feel any anger when I saw him.,['anger'],"['I', 'I', 'him']"
They do not manage to control their emotions.,['emotions'],"['They', 'their']"
Jealousy is eating away at him.,[],['him']
You are just jealous of his success.,['success'],"['You', 'his']"
Do not show too much envy towards your friends.,"['envy', 'friends']",['your']
You are too envious of your sister.,['sister'],"['You', 'your']"
I am very happy you are back.,[],"['I', 'you']"
They are happy together.,[],['They']
This situation made her unhappy.,['situation'],['her']
He is seeking happiness.,['happiness'],['He']
He is ambitious so much that he forgets his family.,['family'],"['He', 'he', 'his']"
This artist is creative.,['artist'],[]
Sometimes you have to be frank.,[],['you']
"Generally, he is extrovert.",[],['he']
He showed himself very friendly to his neighbors.,['neighbors'],"['He', 'himself', 'his']"
Boredom soon spread over the gathering.,['gathering'],[]
"He is too honest, he does not know how to lie.",[],"['He', 'he']"
"Contrary to her reputation, she is modest.",['reputation'],"['her', 'she']"
He knows how to be polite when he needs to.,[],"['He', 'he']"
She is too optimistic as far as this situation is concerned.,['situation'],['She']
He is boy who is full of the joys of life.,"['boy', 'joys', 'life']","['He', 'who']"
The good news made him cheerful.,['news'],['him']
He is angry with you.,[],"['He', 'you']"
He is always pessimistic regarding the future.,['future'],['He']
You have a good memory.,['memory'],['You']
This house brings back a lot of memories.,"['house', 'lot', 'memories']",[]
This girl is smart but she lacks will.,['girl'],['she']
He is too idiot to be aware of the consequences of his actions.,"['consequences', 'actions']","['He', 'his']"
"This girl is very sensitive, you would better watch what you are saying.",['girl'],"['you', 'what', 'you']"
His father is completely insensitive to her problems.,"['father', 'problems']","['His', 'her']"
"I am having doubts, we have already been this way, haven't we ?","['doubts', 'way']","['I', 'we', 'we']"
This young woman was very mature for her age.,"['woman', 'age']",['her']
I have got a bad feeling about this.,['feeling'],"['I', 'this']"
I am not sure of my feelings for you.,['feelings'],"['I', 'my', 'you']"
"At bottom, he is very romantic.",['bottom'],['he']
She is sad to go.,[],['She']
Her voice was tinged with sadness.,"['voice', 'sadness']",['Her']
He secretly prepares his revenge.,['revenge'],"['He', 'his']"
"On that night, he forgot his principles.","['night', 'principles']","['he', 'his']"
"It is a matter of honor, I have to pass this exam.","['matter', 'honor', 'exam']","['It', 'I']"
"He is very shy, he did not say a word all evening.","['word', 'evening']","['He', 'he']"
His shyness is a genuine handicap.,"['shyness', 'handicap']",['His']
He had too much on his mind and he could not sleep.,['mind'],"['He', 'his', 'he']"
"He seems naive, but it is only a mere façade.",['façade'],"['He', 'it']"
You looked worried yesterday.,['yesterday'],['You']
He is anxious because of the exams.,['exams'],['He']
He does not managed to hide his anxiety.,['anxiety'],"['He', 'his']"
His anxiety prevented him from sleeping.,['anxiety'],"['His', 'him']"
He refused to come because of his pride.,['pride'],"['He', 'his']"
He answered in a very cynical way.,['way'],['He']
His cynicism made enemies for himself.,"['cynicism', 'enemies']","['His', 'himself']"
He brought shame all over himself.,['shame'],"['He', 'himself']"
He barely shows tenderness to his children.,"['tenderness', 'children']","['He', 'his']"
I feel nervous each time I have to speak in public.,"['time', 'public']","['I', 'I']"
His husband is very tender to her.,['husband'],"['His', 'her']"
His nervousness was obvious.,['nervousness'],['His']
I do not feel I am qualified enough for this job.,['job'],"['I', 'I']"
Working with incompetent people is exhausting.,['people'],[]
He has a few useful skills.,['skills'],['He']
The incompetence of this administration is legendary.,"['incompetence', 'administration']",[]
He was reluctant as to which behavior he had to adopt.,['behavior'],"['He', 'he']"
He hesitated for a second before knocking at the door.,['door'],['He']
